testing_performance,testing_complexity,training_performance,training_complexity,task_id,validation,seed
0.5878378378378378,16591,0.5727842333105491,16131,359959,aggregated,10212
0.6912751677852349,243472,0.6210133542812254,220601,2073,aggregated,10269
0.6756756756756757,34811,0.6903889642695613,31724,359954,aggregated,10057
0.7733333333333333,39701,0.8082748024582967,35490,359955,aggregated,10082
0.7046979865771812,252451,0.6217259566827517,227966,2073,aggregated,10268
0.8679245283018868,2,0.8745912653975363,2,359956,aggregated,10162
0.8823529411764706,1652,0.847453861927546,1652,190146,aggregated,10094
0.5405405405405406,24081,0.5765721120984278,21250,359959,aggregated,10234
0.6013513513513513,15211,0.57738664843928,15361,359959,aggregated,10238
0.8705882352941177,1446,0.8345352016404648,1446,190146,aggregated,10098
0.7733333333333333,47532,0.8023924495171203,43027,359955,aggregated,10090
0.8679245283018868,343,0.8830571108622619,309,359956,aggregated,10170
0.5337837837837838,6775,0.5789473684210525,6079,359959,aggregated,10226
0.7162162162162162,206,0.6870646766169155,206,359954,aggregated,10055
0.6711409395973155,379212,0.6067613062507013,341536,2073,aggregated,10252
0.8962264150943396,394,0.8872452407614781,394,359956,aggregated,10158
1.0,35612,0.9987179487179487,33626,359960,aggregated,10280
0.7297297297297297,129441,0.6857756671189508,117028,359954,aggregated,10036
0.6486486486486487,44496,0.6812754409769336,40763,359954,aggregated,10047
0.8840579710144928,74856,0.8791602662570404,67364,146818,aggregated,10361
0.697986577181208,261672,0.6104645943216249,236078,2073,aggregated,10244
1.0,1079,0.9993589743589745,1079,359960,aggregated,10292
0.6756756756756757,58001,0.6857304387155134,52705,359954,aggregated,10059
0.8867924528301887,1370,0.8809182530795073,1369,359956,aggregated,10154
0.8530805687203792,21,0.8640712893344473,21,359962,aggregated,10348
0.8672985781990521,183682,0.8661821219715957,166799,359962,aggregated,10335
0.8904109589041096,1625,0.9222761970853574,1625,359958,aggregated,10191
0.8705882352941177,1297,0.8553998632946002,1400,190146,aggregated,10108
0.7866666666666666,6433,0.8037971905179981,6433,359955,aggregated,10063
0.8530805687203792,196571,0.8614313561681982,178575,359962,aggregated,10356
0.8588235294117647,675,0.8515550239234451,675,190146,aggregated,10116
0.6845637583892618,271821,0.6142576590730557,248893,2073,aggregated,10264
0.8985507246376812,37782,0.8777777777777777,33716,146818,aggregated,10001
0.8205128205128205,569191,0.797175697865353,523593,168784,aggregated,10326
0.9315068493150684,142771,0.9192227619708536,129295,359958,aggregated,10183
0.76,197,0.8023705004389814,182,359955,aggregated,10071
0.8625592417061612,212781,0.8656613756613757,193334,359962,aggregated,10344
0.8705882352941177,1446,0.8462576896787424,1446,190146,aggregated,10104
0.8695652173913043,10201,0.879237071172555,9105,146818,aggregated,10013
0.8672985781990521,80712,0.8651267056530214,73511,359962,aggregated,10339
